cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17484894,297,FOR - Road Suitability (Natural Surface),3,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061205
17484894,281,FOR - Soil Rutting Hazard,0,281,FOR - Soil Rutting Hazard,0,1,Severe,1,Severe,1,Severe,1,Severe,0,1,0,1555061206
17484894,281,FOR - Soil Rutting Hazard,1,640,Strength Limitation (3),1,1,Low strength,1,Low strength,1,Low strength,1,Low strength,0,1,0,1555061207
17484894,63746,FOR - Windthrow Hazard,0,63746,FOR - Windthrow Hazard,0,0.5,Moderate,0.5,Moderate,0.5,Moderate,0.5,Moderate,1,1,0,1555061208
17484894,63746,FOR - Windthrow Hazard,1,61448,Windthrow Water Table (Updated),1,1,Water table depth,1,Water table depth,1,Water table depth,1,Water table depth,0,0,0,1555061209
17484894,63746,FOR - Windthrow Hazard,2,63738,Windthrow Hillslope Rating,1,0.5,Hillslope position,0.5,Hillslope position,0.5,Hillslope position,0.5,Hillslope position,0,0,0,1555061210
17484894,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),0,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),0,0,Poorly suited,0,Poorly suited,0,Poorly suited,0,Poorly suited,0,0,0,1555061211
17484894,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),1,56158,"USFS Region 4, Native Surface Roads - Slope and AASHTO GI",1,0,Soil strength,0,Soil strength,0,Soil strength,0,Soil strength,0,0,0,1555061212
17484894,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),2,58535,"USFS Region 4, Native Surface Roads - Water Table v2",1,0,Depth to water table,0,Depth to water table,0,Depth to water table,0,Depth to water table,0,0,0,1555061213
17484894,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),3,48699,"USFS Region 4, Native Surface Roads - Slope",1,0,Slope gradient,0,Slope gradient,0,Slope gradient,1,Slope gradient,0,0,0,1555061214
17484894,54580,Fragile Soil Index,0,54580,Fragile Soil Index,0,0.344,Moderately fragile,0.345,Moderately fragile,0.345,Moderately fragile,0.351,Moderately fragile,0,0,0,1555061215
17484894,54580,Fragile Soil Index,1,54581,Vegetative Cover,1,0.92,Low vegetative cover,0.92,Low vegetative cover,0.92,Low vegetative cover,0.92,Low vegetative cover,0,0,0,1555061216
17484894,54580,Fragile Soil Index,2,54579,Organic Matter in surface Layer,1,0.873,Very low organic matter,0.873,Very low organic matter,0.873,Very low organic matter,0.873,Very low organic matter,0,0,0,1555061217
17484894,54580,Fragile Soil Index,3,54578,Rooting Depth,1,0.473,Moderately deep,0.473,Moderately deep,0.473,Moderately deep,0.473,Moderately deep,0,0,0,1555061218
17484894,54580,Fragile Soil Index,4,54639,Structure Index of Surface,1,0.25,Well structured,0.25,Well structured,0.25,Well structured,0.25,Well structured,0,0,0,1555061219
17484894,54580,Fragile Soil Index,5,54638,Slope full range,1,0,Nearly level,0.009,Nearly level,0.009,Nearly level,0.036,Nearly level,0,0,0,1555061220
17484894,825,"GRL - Fencing, Post Depth =<24 inches",0,825,"GRL - Fencing, Post Depth =<24 inches",0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,1,1,0,1555061221
17484894,825,"GRL - Fencing, Post Depth =<24 inches",1,10032,GRL-Depth to Water Table <24 inches,1,1,<24 inches to water table,1,<24 inches to water table,1,<24 inches to water table,1,<24 inches to water table,0,0,0,1555061222
17484894,825,"GRL - Fencing, Post Depth =<24 inches",2,826,"GRL-Too Clayey, 0-24 inches",1,0.726,18 to 45% Clay,0.866,18 to 45% Clay,0.866,18 to 45% Clay,1,> 45% Clay,0,0,0,1555061223
17484894,825,"GRL - Fencing, Post Depth =<24 inches",3,857,GRL-Potential Frost Action = High,1,0.5,High potential frost action,0.5,High potential frost action,0.5,High potential frost action,0.5,High potential frost action,0,0,0,1555061224
17484894,825,"GRL - Fencing, Post Depth =<24 inches",4,855,GRL-Shrink-Swell of Thickest Layer Within 0-24 inches),1,0.036,Shrink-swell,0.059,Shrink-swell,0.059,Shrink-swell,0.797,Shrink-swell,0,0,0,1555061225
17484894,883,"GRL - Fencing, Post Depth =<36 inches",0,883,"GRL - Fencing, Post Depth =<36 inches",0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,1,1,0,1555061226
17484894,883,"GRL - Fencing, Post Depth =<36 inches",1,878,"GRL-Shrink-Swell of Thickest Layer, 0-36 inches",1,1,Shrink-swell,1,Shrink-swell,1,Shrink-swell,1,Shrink-swell,0,0,0,1555061227
